GivenName,Surname,Name,DisplayName,Department,Subdepartment,Description,Reports To,Site,samAccountName,UserPrincipalName,EmailAddress,Office,OfficePhone,EmployeeNumber,Path
Rod,Butters,Rod Butters,Butters Rod Butters,Head Office,Executives,Co-Owner and CEO,N/A,Head Office,Rod.Butters,Rod.Butters@raudz.com,Rod.Butters@raudz.com,C200,4510,20220001,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Audrey,Surrao,Audrey Surrao,Surrao Audrey Surrao,Head Office,Executives,Co-Owner and CFO,N/A,Head Office,Audrey.Surrao,Audrey.Surrao@raudz.com,Audrey.Surrao@raudz.com,C201,4511,20220002,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
James,Hanna,James Hanna,Hanna James Hanna,Head Office,Executives,Chef de Cuisine,CEO,Head Office,James.Hanna,James.Hanna@raudz.com,James.Hanna@raudz.com,C202,4512,20220003,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jason,Whitfield,Jason Whitfield,Whitfield Jason Whitfield,Head Office,Executives,Pastry Chef,CEO,Head Office,Jason.Whitfield,Jason.Whitfield@raudz.com,Jason.Whitfield@raudz.com,C203,4513,20220004,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Anthony,Chalmers,Anthony Chalmers,Chalmers Anthony Chalmers,Head Office,Executives,Restaurant Manager,CEO,Head Office,Anthony.Chalmers,Anthony.Chalmers@raudz.com,Anthony.Chalmers@raudz.com,C204,4514,20220005,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Scarlett,Johansson,Scarlett Johansson,Johansson Scarlett Johansson,Head Office,Executives,CIO,CEO,Head Office,Scarlett.Johansson,Scarlett.Johansson@raudz.com,Scarlett.Johansson@raudz.com,C205,4515,20220006,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Al,Pacino,Al Pacino,Pacino Al Pacino,Head Office,Executives,VP - Human Resources,CEO,Head Office,Al.Pacino,Al.Pacino@raudz.com,Al.Pacino@raudz.com,C206,4516,20220007,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Meryl,Streep,Meryl Streep,Streep Meryl Streep,Head Office,Executives,VP - Finance,CFO,Head Office,Meryl.Streep,Meryl.Streep@raudz.com,Meryl.Streep@raudz.com,C207,4517,20220008,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Samuel,Jackson,Samuel Jackson,Jackson Samuel Jackson,Head Office,Executives,VP - Marketing and PR,CFO,Head Office,Samuel.Jackson,Samuel.Jackson@raudz.com,Samuel.Jackson@raudz.com,C208,4518,20220009,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Robert,DowneyJr,Robert DowneyJr,DowneyJr Robert DowneyJr,Head Office,HR,Recruiter,VP - Human Resources,Head Office,Robert.DowneyJr,Robert.DowneyJr@raudz.com,Robert.DowneyJr@raudz.com,C209,4519,20220010,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Daniel,Craig,Daniel Craig,Craig Daniel Craig,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Daniel.Craig,Daniel.Craig@raudz.com,Daniel.Craig@raudz.com,C210,4520,20220011,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Jennifer,Lawrence,Jennifer Lawrence,Lawrence Jennifer Lawrence,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Jennifer.Lawrence,Jennifer.Lawrence@raudz.com,Jennifer.Lawrence@raudz.com,C211,4521,20220012,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Will,Smith,Will Smith,Smith Will Smith,Head Office,HR,HR Assistant,VP - Human Resources,Head Office,Will.Smith,Will.Smith@raudz.com,Will.Smith@raudz.com,C212,4522,20220013,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Amy,Adams,Amy Adams,Adams Amy Adams,Head Office,Administration,Receptionist,VP - Human Resources,Head Office,Amy.Adams,Amy.Adams@raudz.com,Amy.Adams@raudz.com,N/A,4523,20220014,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
Christian,Bale,Christian Bale,Bale Christian Bale,Head Office,Administration,Admin Assistant,VP - Human Resources,Head Office,Christian.Bale,Christian.Bale@raudz.com,Christian.Bale@raudz.com,C214,4524,20220015,"OU=UsersHERE,OU=Employees,OU=Acme,DC=Int,DC=Acme,DC=com"
